LAT_LON,ZIP_CODE_IMPUTED
"40.662807, -73.89646",11207
"40.761093, -73.98327",10019
"40.770527, -73.98012",10107
"40.61501, -73.99102",11204
"40.675297, -73.87268",11208
"40.62752, -74.04113",11209
"40.8086, -73.909775",10454
"40.82677, -73.856155",10472
"40.661743, -73.94784",11225
"40.603832, -74.06895",10305
"40.732254, -73.99636",10003
"40.737682, -73.85206",11368
"40.609505, -74.181885",10311
"40.858986, -73.89382",10458
"40.62341, -74.16354",10303
"40.77077, -73.91727",11101
"40.72948, -73.9721",10009
"40.67079, -73.903275",11212
"40.71126, -73.899864",11385
"40.790623, -73.942444",10029
"40.734577, -74.010025",10014
"40.779488, -73.920135",11105
"40.65777, -73.93962",11203
"40.780552, -73.94427",10128
"40.65768, -73.925415",11203
"40.85154, -73.918335",10453
"40.766617, -73.8389",11368
"40.643204, -73.90929",11236
"40.668118, -73.89292",11207
"40.763344, -73.75791",11363
"40.63574, -74.02605",11220
"40.73448, -73.92243",11104
"40.60266, -74.18408",10314
"40.604095, -74.020355",11252
"40.736046, -73.92673",11104
"40.663605, -73.934395",11213
"40.652954, -74.00215",11232
"40.784157, -73.98487",10023
"40.857166, -73.92824",10040
"40.830738, -73.9105",10456
"40.8518, -73.909225",10453
"40.74094, -74.007484",10014
"40.879196, -73.86159",10467
"40.695312, -73.79911",11433
"40.641895, -73.93324",11203
"40.76981, -73.86773",11369
"40.698963, -73.91864",11237
"40.78316, -73.98048",10024
"40.65355, -73.86232",11239
"40.56935, -74.11089",10306
"40.609364, -74.12128",10314
"40.586002, -73.97221",11223
"40.724136, -73.992615",10012
"40.641304, -73.94276",11203
"40.603493, -74.067345",10305
"40.711876, -73.73029",11429
"40.736496, -73.909225",11104
"40.882393, -73.83623",10466
"40.84023, -73.880104",10460
"40.62707, -74.01865",11209
"40.638523, -73.97319",11224
"40.7549, -73.74548",11362
"40.744194, -73.97133",10158
"40.722088, -73.75798",11427
"40.809044, -73.92856",10454
"40.684887, -74.00111",11231
"40.73226, -73.83522",11367
"40.84519, -73.9112",10453
"40.683723, -73.96797",11238
"40.593002, -73.98874",11214
"40.8827, -73.892845",10463
"40.74622, -73.87755",11373
"40.781933, -73.94428",10128
"40.757164, -73.82212",11355
"40.589043, -73.98381",11214
"40.657383, -73.911514",11212
"40.651352, -73.89275",11236
"40.702747, -73.86242",11421
"40.704582, -73.78486",11433
"40.76161, -73.97076",10022
"40.777905, -73.98209",10023
"40.86804, -73.879105",10458
"40.72545, -73.837776",11375
"40.814632, -73.9442",10030
"40.6952, -73.92844",11221
"40.646255, -73.908905",11236
"40.603645, -74.077324",10305
"40.829407, -73.88546",10459
"40.61019, -74.03534",11209
"40.86667, -73.90924",10468
"40.73518, -73.83629",11367
"40.62307, -74.149315",10314
